item_name,item_category,abandoned_count,total_lost_revenue,avg_lost_value
Keyboard DOT Sticker,Home/Stationery/Stickers/,183,128,0
Android Buoy Bottle,Home/Sale/,3,128,21
Google Youth Badge Tee Olive,Sale,16,128,6
YouTube Crew Socks,Apparel,3,128,14
Google Large Standard Journal Grey,Stationery,8,128,11
Essential Canvas Tote,Bags,14,128,7
Google Mountain View Campus Unisex Tee,New,12,126,8
Google Tee Mint Green,Sale,28,126,4
Google Sunnyvale Campus Unisex Tee,Campus Collection,10,126,10
Google Seattle Campus Unisex Tee,Campus Collection,9,126,8
Google Infant Hero Onesie Grey,"",4,125,25
Google Austin Campus Unisex Tee,Home/Campus Collection/,17,125,3
Android Pocket Youth Tee Navy,Home/Apparel/Kids/,20,125,2
Google NYC Campus Ladies Tee,Home/Campus Collection/,32,125,2
Google Land & Sea Unisex Tee,Apparel,7,125,10
Google Mountain View Campus Unisex Tee,Home/Sale/,4,125,10
Google Infant Charcoal Onesie,Google,5,125,13
Gift Card- $100.00,Home/Gift Cards/,1,125,125
Google Eco Tee Black,Eco-Friendly,25,124,3
Google Clear Framed Yellow Shades,Sale,21,124,5
Google Clear Framed Blue Shades,Sale,19,124,7
Google LA Campus Zip Hoodie,Campus Collection,5,123,25
Google Mural Sticky Note Pad,"",5,120,20
Google Red Speckled Tee,Home/Apparel/,157,120,0
Google Campus Bike Carry Pouch,Lifestyle/Bags/,306,120,0
Google NYC Campus Bottle,Home/Campus Collection/,267,120,0
Google Dino Game Tee,Home/Apparel/Men's / Unisex/,52,120,1
Google Utility BackPack,"",1,120,120
Google Heathered Pom Beanie,Google,9,120,11
Google Clear Pen 4-Pack,"",4,120,30
Google Seaport Tote,Google,4,120,24
Google Raincoat Navy,Men's / Unisex,10,120,7
Google Utility BackPack,Google,2,120,60
Flamingo and Friends Tee Blue,Sale,16,120,6
Google Seaport Tote,New,5,120,20
Google Campus Bike Mini Backpack,Bags,15,120,7
Google Recycled Writing Set,Eco-Friendly,7,120,13
YouTube Standards Zip Hoodie Black,Women's,2,120,24
Google Utility BackPack,Lifestyle,2,120,40
Google Crew Combed Cotton Sock,Apparel,7,119,11
Google Camp Mug Ivory,Mugs & Tumblers/,17,117,4
Google Large Tote White,Lifestyle/,215,117,0
YouTube Play Mug,Drinkware,21,117,5
Google Austin Campus Zip Hoodie,Home/Campus Collection/,17,116,3
Google SF Campus Zip Hoodie,Home/Sale/,20,116,3
Google Badge Heavyweight Pullover Black,Men's / Unisex,4,116,17
Google Badge Heavyweight Pullover Black,Home/Shop by Brand/Google/,6,116,9
Google LA Campus Zip Hoodie,Home/Campus Collection/,6,116,9
Google Mountain View Campus Zip Hoodie,Home/Sale/,7,116,7
Google Women's Puff Jacket Black,Google,3,115,38
Google Men's Puff Jacket Black,Google,6,115,16
Google Jotter Task Pad,Home/Stationery/Notebooks/,133,114,0
Noogler Android Figure,"",7,112,16
Google Lapel Pin,Google,6,112,14
Google Crewneck Sweatshirt Navy,Home/Apparel/Women's/,25,110,2
Google Land & Sea French Terry Sweatshirt,Home/Apparel/Women's/,13,110,5
Google Land & Sea French Terry Sweatshirt,"",2,110,55
YouTube Icon Tee Charcoal,Men's T-Shirts/,123,110,0
Google Unisex Pride Eco-Tee Black,Men's T-Shirts/,127,110,0
Google Crewneck Sweatshirt Navy,Home/Shop by Brand/,26,110,1
Google Tee Red,"",5,110,22
Google Land & Sea French Terry Sweatshirt,Google,1,110,55
Google Crewneck Sweatshirt Grey,Apparel,19,110,5
Google Eco Tee Black,Apparel,21,110,3
Google Crewneck Sweatshirt Green,Google,7,110,12
Google Women's Eco Tee Black,Eco-Friendly,11,110,7
Google Land & Sea Journal Set,Stationery,14,105,7
Google Hemp Tote,Bags,12,105,7
Google KeepCup,Eco-Friendly,8,105,12
Google KeepCup,Google,2,105,35
Google Camp Mug Gray,"",8,104,13
Google 16 oz Tumbler Blue,Drinkware,9,104,9
Google Pen Grass Green,Home/Stationery/Writing/,117,102,0
Android Iconic Glass Bottle Green,Sale,5,102,20
Google Infant Charcoal Onesie,Kid's-Infant/,3,100,25
Google Toddler FC Tee Charcoal,Home/Apparel/,86,100,1
Google Land & Sea Unisex Tee,Home/Shop by Brand/Google/,97,100,0
Google Chicago Campus Unisex Tee,Home/Campus Collection/,13,100,3
Google Land & Sea Unisex Tee,Women's,19,100,2
Google Speckled Beanie Navy,Google,5,100,20
Google Land & Sea Unisex Tee,Men's T-Shirts,2,100,17
Google Women's Softshell Moss,"",1,99,99
Android SM S/F18 Sticker Sheet,Home/Shop by Brand/Android/,21,99,3
Google Decal,Home/Stationery/,109,99,0
Google Men's Softshell Moss,Google,2,99,33
Google Sunnyvale Campus Bottle,Sale,9,98,9
Google Toddler Tee White,"",3,96,24
Google Mural Bottle,"",4,96,24
Google Crew Socks,"",6,96,16
Google Cotopaxi Shell,Men's / Unisex,18,96,4
Google Canteen Bottle Black,Water Bottles/,6,96,11
Google Large Standard Journal Grey,Home/Stationery/,132,96,0
Google Cotopaxi Shell,Eco-Friendly,16,96,5
Google Color Block Notebook,Notebooks,11,96,6
Google Incognito Dopp Kit V2,Lifestyle/Bags/,5,96,9
Google Toddler Hero Tee Black,Home/Sale/,6,96,10
Google Incognito Dopp Kit V2,Bags,6,96,14
Google Color Block Notebook,Google,5,96,12
Google Bottle Cleaner,Lifestyle/Drinkware/,547,90,0
Google Tudes Recycled Tee,Men's T-Shirts/,127,90,0
YouTube Jotter Task Pad,Home/Stationery/,236,90,0
Google Flat Front Bag Grey,Lifestyle/,127,90,0
Google Utility Bag Grey,Lifestyle/,207,90,0
Google Cambridge Campus Lapel Pin,Home/Campus Collection/,16,90,5
Google F/C Long Sleeve Tee Ash,Apparel,7,90,10
Google Flat Front Bag Grey,Backpacks/,3,90,30
Google Red Speckled Tee,Women's,12,90,8
Google Mural Tote,Bags,7,90,8
Google Mountain View Campus Unisex Tee,Campus Collection,8,90,6
Google F/C Long Sleeve Tee Ash,"",3,90,30
Google Austin Campus Unisex Tee,Campus Collection,7,90,8
Google Sunnyvale Campus Unisex Tee,New,8,90,9
Google Youth Jumbo Print Tee White,Sale,21,90,3
Google Red Speckled Tee,Apparel,7,90,13
Android Jotter Task Pad,Android,3,90,18
Google Tudes Recycled Tee,Google,2,90,45
Google Men's Tech Fleece Grey,Google,4,89,22
Google Women's Tech Fleece Grey,Google,4,89,22
Google Men's Tech Fleece Grey,Home/Shop by Brand/,2,89,11
Google Tee Blue,"",4,88,22
Google Tonal Tee Coral,"",3,88,22
Android Pocket Onesie Navy,Home/Shop by Brand/Android/,65,88,1
Google Sunglasses,Lifestyle/,19,88,2
Google Incognito Techpack V2,"",1,88,88
YouTube Small Sticker Sheet,Home/Stationery/Stickers/,182,87,0
Google Jumbo Print Tee White,Home/Sale/,45,87,0
Flamingo and Friends Tee Blue,Men's T-Shirts/,9,87,5
Android Pocket Tee Green,Men's / Unisex,11,87,7
Android Iconic Mug Gray,"",4,85,17
Android Iconic Socks,Home/Apparel/Socks/,111,85,1
#IamRemarkable Unisex T-Shirt,Home/Apparel/Men's / Unisex/,14,84,4
Google Austin Campus Mug,Home/Campus Collection/,13,84,4
Google Sunnyvale Campus Mug,Home/Campus Collection/,17,84,2
Google PNW Campus Bottle,Campus Collection,5,84,12
Mural Food Container,Google,3,82,27
Google Sunnyvale Campus Zip Hoodie,Sale,14,82,4
Google LA Campus Zip Hoodie,Google,2,82,27
Google NYC Campus Zip Hoodie,Sale,7,82,10
Google LA Campus Zip Hoodie,Sale,5,82,12
Mural Food Container,Lifestyle,2,82,41
YouTube 25 oz Gear Cap Bottle Black,"",2,81,27
Android Large Removable Sticker Sheet,Home/Sale/,1049,81,0
Google Mural Sticker Sheet,Home/Stationery/Stickers/,183,81,0
YouTube 25 oz Gear Cap Bottle Black,Home/Shop by Brand/,34,81,1
YouTube 25 oz Gear Cap Bottle Black,Drinkware,10,81,6
Google Perk Thermal Tumbler,Mugs & Tumblers/,17,80,3
Google Dino Game Tee,Men's T-Shirts/,128,80,0
Android Techie 3D Framed Art,Home/Shop by Brand/Android/,13,80,3
Snowflake Android Cardboard Sculpture,Lifestyle/Small Goods/,170,80,0
Google Laptop Sleeve Charcoal,Lifestyle/Small Goods/,277,80,0
Android Techie 3D Framed Art,"",2,80,40
Google Aluminum Bottle Red,Home/Shop by Brand/Google/,105,80,0
#IamRemarkable Journal,Stationery,5,80,11
Google Packable Bag Black,"",3,80,20
Google Dino Game Tee,Women's,9,80,7
Google Cork Passport Holder,Sale,4,80,20
Google Land & Sea Tote Bag,Bags,13,80,5
Google Youth F/C Pullover Hoodie,Google,9,80,7
Google Pocket Tee Grey,Women's,3,80,11
Google Sherpa Vest Black,"",1,79,79
Google Small Standard Journal Navy,Sale,12,79,6
YouTube Twill Sandwich Cap Black,"",6,78,13
Google Split Seam Tee Olive,Women's,7,78,6
Noogler Android Figure,Shop by Brand,2,78,26
Google Incognito Zip Pack,Google,6,76,11
Google Women's Microfleece Jacket Black,Home/Apparel/,89,75,0
Google Beekeepers Tee Mint,Home/Apparel/Men's / Unisex/,72,75,0
Google Youth FC Tee Charcoal,Google,7,75,8
Google Seattle Campus Ladies Tee,Home/Campus Collection/,9,75,6
Google Phone Stand Bamboo,Lifestyle,21,75,3
Google Youth Jumbo Print Tee White,Home/Sale/,42,75,1
Google Sunnyvale Campus Unisex Tee,Home/Sale/,8,75,3
Google Incognito Messenger Bag,"",1,75,75
Google Incognito Messenger Bag,Shop by Brand,1,75,38
Google Tee Dark Blue,"",2,75,25
Google Women's Microfleece Jacket Black,"",1,75,75
Super G Unisex Joggers,Home/Shop by Brand/,40,74,1
Super G Unisex Joggers,Men's / Unisex,4,74,15
Super G Unisex Joggers,Google,2,74,37
Google Confetti Slim Task Pad,Home/Stationery/Notebooks/,213,72,0
Google NYC Campus Mug,"",2,72,36
Google NYC Campus Unisex Tee,Campus Collection,11,72,5
Google Youth Badge Tee Navy,"",3,72,24
Google PNW Campus Mug,Campus Collection,14,72,5
Google Toddler Tee White,Kids,6,72,8
Google Mountain View Campus Unisex Tee,Sale,17,72,3
Google Mountain View Tee Red,Sale,9,72,6
Google Seattle Campus Mug,Sale,13,72,5
Google Seattle Campus Mug,Campus Collection,12,72,6
Google PNW Campus Unisex Tee,Campus Collection,6,72,8
Google LoveHandle Black,"",5,70,14
Google KeepCup,Mugs & Tumblers/,17,70,3
Google Pen Grey,Home/Stationery/Writing/,117,70,0
Google Emoji Magnet Set,Small Goods,10,70,6
Google Medium Pet Leash (Blue/Green),"",2,70,35
Google Large Pet Leash (Red/Yellow),Google,1,70,23
Google Glass Bottle,Lifestyle/,65,69,0
Google Pen Citron,Home/Stationery/Writing/,117,68,0
Google Land & Sea Mug,New,1,68,14
Android Pocket Onesie Navy,Kid's-Infant/,4,66,7
YouTube Icon Tee Charcoal,Apparel,14,66,4
Google Unisex Pride Eco-Tee Black,Home/Eco-Friendly/,3,66,8
Google Unisex Pride Eco-Tee Black,Eco-Friendly,12,66,4
Google Black Tee,Google,12,66,4
YouTube Play Mug,"",3,65,22
Google Emoji Sticker Pack,Home/Stationery/,169,65,0
#IamRemarkable Unisex Hoodie,Home/Apparel/,80,64,0
Android Large Trace Journal Black,Home/Shop by Brand/Android/,60,64,1
Google Pen White,Home/Stationery/,245,64,0
Noogler Android Figure,Lifestyle/,120,64,0
YouTube Iconic Play Pin,"",4,64,13
Gift Card - $50.00,"",1,63,63
Google Cloud Pen,Home/Shop by Brand/Google/,106,63,0
Google Women's Grid Zip-Up,Google,3,63,21
Gift Card - $25.00,"",1,62,31
Google Heathered Pom Beanie,Home/Shop by Brand/,32,60,1
Android Iconic Beanie,Home/Apparel/Hats/,1388,60,0
Google Mesh Bag Red,Lifestyle/Bags/,306,60,0
Google NYC Campus Lapel Pin,Home/Campus Collection/,247,60,0
Mommy Works at Google Book,"",3,60,20
Google Mural Sticky Note Pad,Home/Stationery/Notebooks/,75,60,0
Google Utensil Set,"",2,60,30
Google Seattle Campus Mug,Home/Campus Collection/,12,60,4
Snowflake Android Cardboard Sculpture,Home/Shop by Brand/,34,60,1
Mommy Works at Google Book,Small Goods,9,60,6
Google Seaport Tote,Lifestyle/Bags/,5,60,6
Google Zip Hoodie F/C,"",1,60,60
#IamRemarkable Lapel Pin,Small Goods,1,60,60
Google Zip Hoodie F/C,Home/Shop by Brand/Google/,5,60,4
Google Color Block Notebook,Stationery,6,60,9
Google Heather Green Speckled Tee,Google,2,60,30
Google Felt Refillable Journal,Sale,4,60,12
Flamingo and Friends Tee Blue,Women's,5,60,5
YouTube Standards Zip Hoodie Black,Shop by Brand,1,60,30
Google Speckled Beanie Grey,Google,3,60,12
Google Woodtop Bottle Black,Lifestyle,3,60,12
Google Land & Sea Tech Taco,Small Goods,6,60,9
Google Woodtop Bottle Black,Drinkware,2,60,20
Google Seaport Tote,Lifestyle,1,60,60
Flamingo and Friends Tee Blue,"",2,58,29
Google Jumbo Print Tee White,"",1,58,29
Google Sunnyvale Campus Zip Hoodie,"",1,58,58
Android Pocket Tee Navy,Home/Apparel/Men's / Unisex/,26,58,1
Google Boulder Campus Zip Hoodie,"",1,58,58
Google Women's Striped L/S,"",2,58,29
Supernatural Paper Backpack,New,3,58,19
Google Chicago Campus Zip Hoodie,Home/Campus Collection/,13,58,2
Supernatural Paper Backpack,Eco-Friendly,5,58,12
Google Chicago Campus Zip Hoodie,Home/Sale/,29,58,1
Google Austin Campus Zip Hoodie,Home/Sale/,29,58,1
Google NYC Campus Zip Hoodie,Home/Campus Collection/,33,58,1
Google SF Campus Zip Hoodie,Home/Campus Collection/,13,58,3
Google Austin Campus Zip Hoodie,"",1,58,58
Google Jotter Task Pad,New,15,58,3
Supernatural Paper Backpack,Bags,7,58,7
Google PNW Campus Zip Hoodie,Home/Campus Collection/,9,58,3
Supernatural Paper Backpack,Lifestyle,4,58,15
Google Sunnyvale Campus Zip Hoodie,Home/Sale/,6,58,4
Google PNW Campus Zip Hoodie,"",1,58,58
Google Cork Passport Holder,Home/Eco-Friendly/,105,56,0
Google Super G Tumbler (Red Lid),New,11,56,4
Google Incognito Laptop Organizer,Bags,8,56,7
Google Super G Tumbler (Blue Lid),Drinkware,14,56,4
Google PNW Campus Tote,Campus Collection,5,56,11
Google Cork Base Tumbler,Google,7,56,7
Google Super G Tumbler (Red Lid),"",2,56,28
Google Mouse Pad Navy,"",8,55,6
Google Crewneck Sweatshirt Navy,Apparel,5,55,9
Google Women's Tech Fleece Vest Charcoal,Sale,15,55,3
Android Iconic Crewneck Sweatshirt,"",1,55,55
Android Iconic Crewneck Sweatshirt,Apparel,4,55,14
YouTube 25 oz Gear Cap Bottle Black,Lifestyle/,1,54,27
Google Small Cable Organizer Blue,Lifestyle/Small Goods/,280,54,0
Stan and Friends Toddler Tee Green,New,4,54,11
Google Austin Campus Unisex Tee,Sale,8,54,5
Stan and Friends Tee Green,Men's / Unisex,17,54,3
Google LA Campus Unisex Tee,Sale,11,54,4
Google Beekeepers Onesie Pink,Sale,8,54,5
Google LA Campus Unisex Tee,Campus Collection,6,54,8
Google Mountain View Tee Blue,Sale,18,54,2
Google Kids Playful Tee,Sale,13,54,2
Google Mural Notebook,Sale,3,54,18
Google Camp Mug Ivory,Home/Shop by Brand/,40,52,0
Google Campus Bike Grid Task Pad,Home/Stationery/Notebooks/,150,52,0
Google Tech Taco,Lifestyle/Small Goods/,277,52,0
YouTube Twill Sandwich Cap Black,Home/Shop by Brand/,34,52,1
Google Mural Notebook,"",2,52,26
White Google Shoreline Bottle,Drinkware,14,52,4
Google Camp Mug Ivory,Google,8,52,6
Google Campus Bike Grid Task Pad,Stationery,4,52,13
Android SM S/F18 Sticker Sheet,Home/Stationery/Stickers/,182,51,0
Google Jotter Task Pad,Stationery,11,51,4
#IamRemarkable Pen,Home/Stationery/Writing/,115,51,0
Android Iconic Notebook,Notebooks,5,51,10
Google Toddler Hero Tee Black,Sale,9,51,4
Android Iconic Mug Gray,Lifestyle,4,51,9
Google Pen Citron,Sale,10,51,5
Google Youth Badge Tee Navy,Google,4,51,13
Google Sunnyvale Campus Unisex Tee,"",2,50,25
Google Land & Sea Nalgene Water Bottle,Home/Shop by Brand/Google/,169,50,0
Google Mountain View Tee Blue,Men's T-Shirts/,130,50,0
Google Beekeepers Tee Mint,"",1,50,25
Stan and Friends Onesie Green,"",2,50,25
Google NYC Campus Unisex Tee,Home/Sale/,3,50,8
Google Infant Hero Onesie Grey,Home/Sale/,4,50,7
Google Infant Hero Tee Olive,Home/Sale/,4,50,7
Google Land & Sea Women's Eco Tee,Apparel,3,50,10
Google Sunnyvale Campus Ladies Tee,Home/Campus Collection/,15,50,2
Google Beekeepers Onesie Pink,"",1,50,25
Google SF Campus Tote,Sale,12,50,4
Google Campus Bike Eco Tee Navy,Men's / Unisex,13,50,3
Google Land & Sea Nalgene Water Bottle,Lifestyle/Drinkware/,7,50,4
Google Kirkland Campus Unisex Tee,Home/Campus Collection/,2,50,17
Google LA Campus Unisex Tee,Home/Campus Collection/,5,50,4
Stan and Friends Toddler Tee Green,"",2,50,25
Google Mountain View Campus Ladies Tee,Home/Campus Collection/,11,50,2
Android Pocket Youth Tee Navy,Kids,11,50,4
Google PNW Campus Ladies Tee,Home/Campus Collection/,2,50,25
Google Tee Mint Green,"",1,50,25
Google Recycled Writing Set,Sale,19,49,2
Google Sunnyvale Campus Mug,"",4,48,12
Google Pride Sticker,Home/Stationery/Stickers/,179,48,0
Google Canteen Bottle Black,"",2,48,24
Android Jotter Task Pad,Home/Eco-Friendly/,193,48,0
YouTube Jotter Task Pad,Home/Eco-Friendly/,193,48,0
Google NYC Campus Mug,Home/Sale/,17,48,1
#IamRemarkable Journal,Home/Stationery/Notebooks/,207,48,0
Google Canteen Bottle Black,Google,5,48,8
Google Toddler Tee White,Google,4,48,8
Android Puzzlebot v2,"",1,48,16
Google Toddler Hero Tee Olive,Google,2,48,12
Google Austin Campus Mug,Campus Collection,12,48,3
Google LA Campus Mug,Sale,7,48,7
Google Crew Socks,Apparel,3,48,12
Google Cotopaxi Shell,Google,4,48,5
Supernatural Paper Lunch Sack,New,4,48,10
Google Chicago Campus Mug,Sale,10,48,5
Google Felt Luggage Tag,Sale,8,48,5
Google Mural Bottle,Shop by Brand,1,48,24
Google Confetti Task Pad,Stationery,6,48,7
Google Glass Bottle,"",2,46,23
Google Mural Socks,"",3,45,15
Google Mouse Pad Navy,Lifestyle/,173,45,0
Google Soft Modal Scarf,Women's,12,45,4
Google Hemp Tote,Sale,8,45,5
Google Light Pen Blue,Home/Stationery/Writing/,115,45,0
Google Hemp Tote,Lifestyle,3,45,11
Google Utensil Set,Small Goods,8,45,5
Google Soft Modal Scarf,Men's / Unisex,2,45,23
Google 5K Run 2020 Unisex Tee,"",2,44,22
Google Women's Pride Eco-Tee Black,"",2,44,22
Google Eco Tee Black,"",2,44,22
Google Unisex Pride Eco-Tee Black,Home/Apparel/Men's / Unisex/,69,44,0
Google Hemp Tote,Lifestyle/,52,44,0
Google Women's Black Tee,Home/Sale/,23,44,0
Android Pocket Onesie Navy,"",2,44,22
YouTube Icon Tee Grey,"",2,44,22
Google PNW Campus Tote,Home/Campus Collection/,9,44,2
Google Unisex Pride Eco-Tee Black,Google,5,44,7
Google Eco Tee Black,Home/Eco-Friendly/,2,44,7
Google Tee Yellow,Sale,6,44,6
YouTube Icon Tee Grey,Apparel,6,44,6
Google Women's Black Tee,"",2,44,22
Google Blue Kids Sunglasses,Small Goods,10,43,4
Google NYC Campus Sticker,Home/Campus Collection/,266,42,0
Google NYC Campus Bottle,Sale,14,42,3
Google Premium Sunglasses,Sale,18,42,2
Google 24 oz Ring Bottle Red,Lifestyle/Drinkware/,11,42,2
Google Premium Sunglasses,Lifestyle,7,42,5
Google 24 oz Ring Bottle Red,Drinkware,8,42,4
Google Small Standard Journal Navy,Lifestyle,7,42,4
Google Boulder Campus Bottle,Campus Collection,3,42,8
Google Chicago Campus Zip Hoodie,Campus Collection,4,41,6
Google Boulder Campus Zip Hoodie,Sale,5,41,7
Google SF Campus Zip Hoodie,Campus Collection,10,41,3
Google Mountain View Campus Zip Hoodie,Sale,11,41,3
Google Cambridge Campus Zip Hoodie,Sale,4,41,10
Google Dino Game Tee,"",1,40,40
Google NYC Campus Bottle,Home/Sale/,9,40,3
Google Perk Thermal Tumbler,Lifestyle/Drinkware/,15,40,1
Google Premium Sunglasses,Home/Shop by Brand/,34,40,0
Android Garden Tee Orange,Sale,14,40,2
Google Campus Bike,Google,8,40,4
Google Dino Game Tee,Eco-Friendly,12,40,2
Google Dino Game Tee,Apparel,15,40,2
Google Mini Kick Ball,"",1,40,20
Google Magnet,Google,6,40,7
Google Keychain,Lifestyle,10,40,3
Google Recycled Pen Green,Eco-Friendly,4,40,10
Google Perk Thermal Tumbler,"",2,40,20
Google LoveHandle Black,Google,5,40,8
Google Packable Bag Black,Bags,2,40,13
Google Bot (Multicolored),Home/Shop by Brand/,3,40,10
Google Felt Refillable Journal,Google,4,40,10
Google Pocket Tee Grey,Google,3,40,13
Google 16 oz Tumbler Blue,Mugs & Tumblers/,3,39,13
Android SM S/F18 Sticker Sheet,Home/Stationery/,239,39,0
Google Camp Mug Gray,Lifestyle/,65,39,0
Google Camp Mug Gray,Lifestyle,7,39,5
Google Recycled Pen Black,Home/Eco-Friendly/,189,38,0
Google Boulder Campus Mug,Sale,11,38,3
Google Youth Hero Tee Grey,Kids,3,38,13
Super G Unisex Joggers,New,1,37,37
Super G Unisex Joggers,Home/Apparel/Women's/,1,37,37
Keyboard DOT Sticker,Home/Stationery/,240,36,0
Google Light Pen Blue,Home/Stationery/,119,36,0
Google Pen Bright Blue,Home/Stationery/Writing/,117,36,0
Google Austin Campus Ladies Tee,Campus Collection,3,36,7
Google Black Cork Journal,Stationery,9,36,3
Google Boulder Campus Unisex Tee,Sale,9,36,4
Google SF Campus Unisex Tee,Sale,15,36,2
Google Sunnyvale Campus Mug,Home/Sale/,16,36,1
Google Cambridge Campus Mug,Home/Sale/,3,36,12
Google Seattle Campus Mug,Home/Sale/,11,36,1
Google PNW Campus Mug,Home/Campus Collection/,11,36,1
#IamRemarkable Unisex T-Shirt,Men's / Unisex,8,36,5
Google Frisbee,Small Goods,12,36,3
Google Thermal Tumbler Navy,Google,4,36,9
Stan and Friends Toddler Tee Green,Sale,4,36,9
Google Mountain View Campus Ladies Tee,Sale,5,36,6
Google Seattle Campus Unisex Tee,Sale,5,36,5
Google Mountain View Campus Ladies Tee,New,2,36,12
Google Mountain View Tee Blue,Google,2,36,12
Google LA Campus Mug,Home/Sale/,8,36,2
Google See-No Hear-No Set,Lifestyle,3,36,9
Google Mural Tote,"",1,36,18
Stainless Straight Straw/Cleaner,Eco-Friendly,7,36,4
Stan and Friends Toddler Tee Green,Google,1,36,18
Google KeepCup,Lifestyle,4,35,9
Google Toddler FC Zip Hoodie,Apparel,4,35,9
Google Toddler FC Zip Hoodie,"",1,35,35
Google Medium Pet Leash (Red/Yellow),Small Goods,4,35,9
Google Large Pet Collar (Red/Yellow),"",1,35,35
Google KeepCup,Lifestyle/Drinkware/,7,35,3
Google Medium Pet Leash (Red/Yellow),Google,3,35,12
Google Medium Pet Collar (Red/Yellow),Google,4,35,9
Google Medium Pet Leash (Blue/Green),Small Goods,2,35,12
Google Large Pet Collar (Red/Yellow),Google,2,35,18
Google Medium Pet Collar (Blue/Green),Google,3,35,12
Google Large Pet Collar (Blue/Green),Google,3,35,12
Google Medium Pet Leash (Blue/Green),Google,2,35,18
Google Large Pet Collar (Blue/Green),Small Goods,1,35,35
Google Medium Pet Leash (Red/Yellow),"",1,35,35
Android Iconic Mug Gray,Mugs & Tumblers/,17,34,1
Google Mural Mug,Lifestyle/Drinkware/,13,34,1
Google Land & Sea Mug,Lifestyle/Drinkware/,13,34,1
Google Leather Strap Hat Black,Apparel,12,34,2
Google Leather Strap Hat Blue,Home/Shop by Brand/,13,34,1
Android Iconic Socks,"",2,34,17
Google Youth Badge Tee Olive,Kids,4,34,6
Google Leather Strap Hat Black,Google,8,34,4
Google Campus Bike Corkbase Mug Blue,Lifestyle/,2,34,3
Google Mural Mug,Lifestyle,5,34,6
Google Campus Bike Corkbase Mug Blue,"",2,34,17
Google Toddler Hero Tee Black,Google,4,34,5
Android Iconic Sticker Sheet,Home/Stationery/Stickers/,182,33,0
Google Cambridge Campus Tote,Home/Campus Collection/,249,33,0
Google Felt Luggage Tag,Home/Eco-Friendly/,110,33,0
Google Light Pen Green,Home/Stationery/Writing/,115,33,0
Android Iconic Hat Black,Sale,19,33,2
Google Sunnyvale Campus Tote,Home/Campus Collection/,15,33,1
Google Lapel Pin,"",4,32,8
Android Iconic Hat Black,"",2,32,16
Google Cloth & Pouch Black,Lifestyle/Small Goods/,110,32,0
"Android Iconic 4"" Decal",Home/Stationery/Stickers/,14,32,2
Google Sunnyvale Campus Mug,New,8,32,4
YouTube Crew Socks,"",2,32,16
Stainless Bent Straw/Cleaner,Eco-Friendly,8,32,2
Google Large Standard Journal Grey,Google,3,32,11
Google Crew Socks,Google,4,32,8
Google Light Pen Red,Sale,25,32,1
#IamRemarkable Unisex Hoodie,Men's / Unisex,2,32,16
Essential Canvas Tote,Lifestyle,4,32,8
Google Keychain,Shop by Brand,2,32,16
Google Kirkland Campus Mug,Sale,7,32,4
Google Navy Speckled Tee,Home/Shop by Brand/,27,30,0
Google Clear Pen 4-Pack,Home/Shop by Brand/,40,30,0
Android Iconic Beanie,Home/Shop by Brand/Android/,34,30,1
Google Navy Speckled Tee,Men's T-Shirts,5,30,4
Google Chrome Dinosaur Collectible,"",1,30,30
Google Navy Speckled Tee,Google,6,30,4
Google Mural Socks,Apparel,5,30,5
Google Woodtop Bottle Black,Google,3,30,8
Google Tudes Recycled Tee,"",1,30,30
Google Navy Speckled Tee,Home/Shop by Brand/Google/,5,30,3
Google Bot,Small Goods,11,30,2
Google F/C Long Sleeve Tee Charcoal,Home/Apparel/Women's/,2,30,8
Google LoveHandle Black,Lifestyle,8,30,4
Google Youth FC Longsleeve Charcoal,Google,4,30,8
Google Red Kids Sunglasses,Small Goods,9,30,3
Google Mural Socks,Home/Apparel/,9,30,1
Google Cup Cap Tumbler Grey,Lifestyle,3,30,8
Google Phone Stand Bamboo,Google,7,30,3
Google Navy Speckled Tee,Apparel,6,30,4
Google Navy Speckled Tee,Men's T-Shirts/,1,30,15
Google Tudes Recycled Tee,Shop by Brand,1,30,30
Google Youth FC Longsleeve Charcoal,"",1,30,30
Google Stylus Pen w/ LED Light,Stationery,3,30,10
Google Heather Green Speckled Tee,Shop by Brand,2,30,15
Google Flat Front Bag Grey,"",1,30,30
Google Cup Cap Tumbler Grey,Drinkware,1,30,30
Android Pocket Tee Green,Apparel,4,29,7
Android Garden Tee Orange,Home/Apparel/Men's / Unisex/,91,29,0
Google Women's Striped L/S,Women's T-Shirts/,2,29,7
Android Garden Tee Orange,Home/Shop by Brand/Android/,74,29,0
Google Women's Striped L/S,Home/Shop by Brand/,34,29,0
Flamingo and Friends Tee Blue,Home/Apparel/Women's/,24,29,0
Google Pocket Tee Grey,Home/Apparel/Women's/,15,29,1
Google Cambridge Campus Sticker,Home/Campus Collection/,246,28,0
Android Iconic Pen,Home/Shop by Brand/Android/,57,28,0
Google Super G Tumbler (Blue Lid),Lifestyle/Drinkware/,14,28,1
Android Iconic Pin,Lifestyle/Small Goods/,276,28,0
Google Super G Tumbler (Red Lid),Drinkware,13,28,2
Google Super G Tumbler (Blue Lid),Google,5,28,5
Supernatural Paper Tote,Bags,5,28,6
Google Super G Tumbler (Red Lid),Google,3,28,7
Google LA Campus Bottle,Sale,3,28,7
Google SF Campus Bottle,Sale,15,28,2
Google Premium Sunglasses,Google,3,28,7
